supplier_code,name,price,barcode
"20161205","20161205","0.0000","16752"
"20161211","20161211","0.0000","16852"
"20161212","20161212","0.0000","16901"
"20170101","20170101","0.0000","16902"
"20170102","20170102","0.0000","16903"
"20170116","20170116","0.0000","17024"
"20170123","20170123","0.0000","17052"
"20170130","20170130","0.0000","17056"
"20170213","20170213","0.0000","17118"
"20170312","20170312","0.0000","17232"
"20170313","20170313","0.0000","17195"
"20170326","20170326","0.0000","17236"
"20170403","20170403","0.0000","17250"
"20170409","20170409","0.0000","17345"
"20170422","20170422","0.0000","17362"
"20170423","20170423","0.0000","17374"
"20170508","20170508","0.0000","17407"
"20170521","20170521","0.0000","17532"
"20170522","20170522","0.0000","17551"
"20170605","20170605","0.0000","17620"
"20170611","20170611","0.0000","17642"
"20170618","20170618","0.0000","17693"
"20170619","20170619","0.0000","17717"
"20170703","20170703","0.0000","17721"
"20170711","20170711","0.0000","17757"
"20170716","20170716","0.0000","17754"
"20170717","20170717","0.0000","17756"
"20170731","20170731","0.0000","17795"
"20170801","20170801","0.0000","17800"
"20170814","20170814","0.0000","17833"
"20170820","20170820","0.0000","17882"
"20170827","20170827","0.0000","17885"
"20170911","20170911","0.0000","17887"
"20170915","20170915","0.0000","17886"
"20170917","20170917","0.0000","17888"
"20171001","20171001","0.0000","18448"
"20171015","20171015","0.0000","18469"
"20171016","20171016","0.0000","18485"
"20171022","20171022","0.0000","18507"
"20171029","20171029","0.0000","18525"
"20171105","20171105","0.0000","18736"
"20171106","20171106","0.0000","18754"
"20171112","20171112","0.0000","18823"
"20171119","20171119","0.0000","18886"
"20171120","20171120","0.0000","18889"
"20171126","20171126","0.0000","18894"
"20171127","20171127","0.0000","18899"
"20171203","20171203","0.0000","18926"
"20171210","20171210","0.0000","19072"
"20171218","20171218","0.0000","19079"
"20171225","20171225","0.0000","19087"
"20180101","20180101","0.0000","19128"
"20180114","20180114","0.0000","19144"
"20180115","20180115","0.0000","19154"
"20180121","20180121","0.0000","19157"
"20180128","20180128","0.0000","19167"
"20180211","20180211","0.0000","19188"
"20180212","20180212","0.0000","19191"
"20180218","20180218","0.0000","19196"
"20180225","20180225","0.0000","19198"
"20180304","20180304","0.0000","19200"
"20180401","20180401","0.0000","19253"
"20180402","20180402","0.0000","19254"
"20180409","20180409","0.0000","19258"
"20180415","20180415","0.0000","19276"
"20180422","20180422","0.0000","19282"
"20180505","20180505","0.0000","19444"
"20180506","20180506","0.0000","19445"
"20180514","20180514","0.0000","19465"
"20180521","20180521","0.0000","19466"
"20180527","20180527","0.0000","19467"
"20180603","20180603","0.0000","19468"
"20180610","20180610","0.0000","19629"
"20180621","20180621","0.0000","19636"
"20180624","20180624","0.0000","19637"
"20180701","20180701","0.0000","19657"
"20180702","20180702","0.0000","19677"
"20180708","20180708","0.0000","19775"
"20180722","20180722","0.0000","19786"
"20180808","20180808","0.0000","19804"
"20180812","20180812","0.0000","19862"
"20180819","20180819","0.0000","19880"
"20180830","20180830","0.0000","19882"
"20180909","20180909","0.0000","19885"
"20180913","20180913","0.0000","19912"
"20180916","20180916","0.0000","19932"
"20180923","20180923","0.0000","19945"
"20180928","20180928","0.0000","19965"
"20181008","20181008","0.0000","20358"
"20181008 supreme","20181008 supreme","0.0000","20456"
"20181021","20181021","0.0000","20492"
"20181022","20181022","0.0000","20484"
"20181028","20181028","0.0000","20550"
"20181104","20181104","0.0000","20584"
"20181110","20181110","0.0000","20609"
"20181111","20181111","0.0000","20615"
"20181111S","20181111S","0.0000","20627"
"20181124","20181124","0.0000","20721"
"20181125","20181125","0.0000","20744"
"20181201","20181201","0.0000","20751"
"20181208","20181208","0.0000","20772"
"20181216","20181216","0.0000","20775"
"20181230","20181230","0.0000","20871"
"20190113","20190113","0.0000","20893"
"20190119","20190119","0.0000","20898"
"20190202","20190202","0.0000","20905"
"20190210","20190210","0.0000","20908"
"20190216","20190216","0.0000","20914"
"20190324","20190324","0.0000","20929"
"20190407","20190407","0.0000","20950"
"20190414","20190414","0.0000","20951"
"20190428","20190428","0.0000","21139"
"20190512","20190512","0.0000","21178"
"20190526","20190526","0.0000","21197"
"20190604","20190604","0.0000","21221"
"20190610","20190610","0.0000","21323"
"20190617","20190617","0.0000","21358"
"20190624","20190624","0.0000","21660"
"20190707","20190707","0.0000","21679"
"20190721","20190721","0.0000","21709"
"20190722","20190722","0.0000","21746"
"20190803","20190803","0.0000","21787"
"20190818","20190818","0.0000","21828"
"20190825","20190825","0.0000","21851"
"20190902","20190902","0.0000","21878"
"20190908","20190908","0.0000","21911"
"20190929","20190929","0.0000","22288"
"20191013","20191013","0.0000","22405"
"20191020","20191020","0.0000","22776"
"20191111","20191111","0.0000","22840"
"20191125","20191125","0.0000","22856"
"20191201","20191201","0.0000","22944"
"20191208","20191208","0.0000","22957"
"20191222","20191222","0.0000","22993"
"20200105","20200105","0.0000","23031"
"20200119","20200119","0.0000","23041"
"20200209","20200209","0.0000","23058"
"20200213","20200213","0.0000","23193"
"20200316","20200316","0.0000","23239"
"20200412","20200412 - Already in Warehouse","0.0000","23286"
"20200420","20200420 - Already in Warehouse","0.0000","23308"
"20200426","20200426 - Already in Warehouse","0.0000","23311"
"20200428","20200428 - Already in Warehouse","0.0000","23326"
"20200519","20200519","0.0000","23504"
"20200618","20200618","0.0000","23519"
"20200705","20200705","0.0000","23527"
"20200719","20200719","0.0000","23615"
"20200801","20200801","0.0000","23636"
"20200802","20200802 Japan","0.0000","23642"
"20200804","20200804","0.0000","23646"
"20200816","20200816","0.0000","23649"
"20200830","20200830","0.0000","23728"
"20200905","20200905 - Delay To 14/09/2020","0.0000","23783"
"20200917","20200917","0.0000","23871"
"20201005","20201005","0.0000","24117"
"20201019","20201019","0.0000","24160"
"20201022","20201022","0.0000","24416"
"20201102","20201102","0.0000","24423"
"20201103","20201103","0.0000","24442"
"20201111","20201111","0.0000","24456"
"20201113","20201113","0.0000","24458"
"20201122","20201122","0.0000","24463"
"20201130","20201130","0.0000","24725"
"20201213","20201213","0.0000","24736"
"20201214","20201214","0.0000","24746"
"20201215","20201215","0.0000","24762"
"20201227","20201227 - Delay till 11/01/2021","0.0000","24777"
"20210105","20210105","0.0000","24779"
"20210125","20210125","0.0000","24927"
"20210208","20210208","0.0000","24947"
"20210209","20210209","0.0000","24953"
"20210210","20210210","0.0000","24958"
"20210215","20210215","0.0000","24961"
"20210225","20210225","0.0000","24963"
"20210226","20210226","0.0000","24989"
"20210322","20210322","0.0000","24992"
"20210419","20210419 Vietnam","0.0000","24997"
"20210420","20210420","0.0000","24999"
"20210428","20210428","0.0000","25242"
"20210517","20210517","0.0000","25252"
"20210524","20210524","0.0000","25271"
"20210602","20210602","0.0000","25278"
"20210609","20210609","0.0000","25304"
"20210614","20210614","0.0000","25307"
"20210615","20210615","0.0000","25319"
"20210622","20210622","0.0000","25322"
"20210702","20210702","0.0000","25342"
"20210708","20210708","0.0000","25371"
"20210709","20210709","0.0000","25385"
"20210713","20210713","0.0000","25409"
"20210720","20210720","0.0000","25451"
"20210805","20210805","0.0000","25636"
"202492","VINYL GLOVES M PINK","1.9500","4901792024921 "
"202493","VINYL GLOVES M GREEN","1.9500","4901792024938 "
"202494","VINYL GLOVES L GREEN","1.9500","4901792024945 "
"204507","PLASTIC CHECK COUNTER","2.3500","4972822045070"
"233055","EVA RESIN SANDAL MEN","2.5000","4972822330558"
"233056","EVA RESIN SANDAL LADY","2.5000","4972822330565"
"236044","CD CASE TRIANGLE (36044)","1.8000","4972822360449"
"236046","CD CASE DOT (36046)","1.8000","4972822360463"
"238121","JAM BOTTLE 51x45mmDIA (38121)","1.0500","4972822381215"
"239034","PLASTIC TRAY 380x263x40MM (39034)","1.8500","4972822390347"
"241034","PLASTIC THERMOMETER & HYGROMETER","2.3500","4972822410342 "
"243025","POLYESTER BAG 340x420MM","2.0000","4972822430258"
"24421","Xmas Paper Gift Bag - 210g - 23x18x10cm (XS0394)","0.0000","24421"
"274004","POLYESTER RAIN COAT 104CM (74004)","0.9500","4972822740043"
"274009","LED REFLECTION SAFETY BAND (74009)","1.7500","4972822740098"
"274018","POLYESTER RAIN COAT 120CM (74018)","1.8500","4972822740180"
"30140","Polly Duster","0.9000","9415095301405"
"30142","Professor Fluffy Duster","0.9000","9415095301429"
"310800","RUBBER PIPE CLEANER W/PLASTIC HANDLE S","2.2500","4991203108005"
"311227","IRON SCREW DRIVER S 6P w/PLASTIC HANDLE AND PLASTIC CASE","1.8500","4991203112279"
"311441","IRON SCREW DRIVER L 6P w/PLASTIC HANDLE AND PLASTIC CASE","2.3500","4991203114419"
"311465","STAINLESS STEEL HAIR CUT SCISSORS","1.6000","4991203114655"
"311599","STAINLESS STEEL SLOTTED LADLE w/PLASTIC HANDLE-SEPIA","1.7500","4991203115997 "
"311628","IRON GARDENING SCOOP","2.2500","4991203116284"
"311630","IRON GARDEN RAKE","2.1500","4991203116307"
"311631","IRON SICKLE","2.2500","4991203116314"
